ï»¿Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales,per unit,quantity,total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,01/01/2026,01/31/2026,B0FTFYGZFK,B0FTFYGZFK,,3 in 1 Portable Car Vacuum Cleaner_1,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
IN,01/01/2026,01/31/2026,B0G5GDHJ4D,B0G5FZ8JBQ,,HX-CarDetergentTableat-10,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
IN,01/01/2026,01/31/2026,B0FTZHVX4P,B0FTZKJH8M,,HX -MF1200-01-40*40,INR,215.92,8,2,6,1727.36,1299.88,53.1,1,53.1,74.34,2,148.68,,,,,,,,,1076.86,179.476667
IN,01/01/2026,01/31/2026,B0FTZHVX4P,B0FTZDDCXS,,HX-MF1200-01-40x60,INR,282.08087,46,5,41,12975.72,11562.36,53.1,1,53.1,70.815131,26,1841.1934,,,,13.473011,528,7113.75,,,2448.1166,59.710161
IN,01/01/2026,01/31/2026,B0FTZHVX4P,B0FTZJ61MM,,HX-MF1200-02-40x40 4,INR,427.62,1,0,1,427.62,427.62,12.98,1,12.98,76.7,1,76.7,26.49,1,26.49,,,,,,311.45,311.45
IN,01/01/2026,01/31/2026,B0FTZHVX4P,B0FTZHLTPJ,,HX-MF1200-02-40x60,INR,608.57,2,0,2,1217.14,1217.14,40.12,2,80.24,76.7,2,153.4,98.02,2,196.04,21.49,11,236.39,,,551.07,275.535
IN,01/01/2026,01/31/2026,B0FTZHVX4P,B0FTZGNNM5,,HX-MF1200-03-40x40,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
IN,01/01/2026,01/31/2026,B0FTZHVX4P,B0FTZG8CRG,,HX-MF1200-03-40x60,INR,846.67,3,0,3,2540.01,2540.01,40.12,1,40.12,75.126667,3,225.38,136.37,1,136.37,,,,,,2138.14,712.713333
IN,01/01/2026,01/31/2026,B0FTSD4N59,B0G6Z6V9DX,,HX -MF350-01-40*40,INR,60,6,0,6,360,360,7.08,3,21.24,24.78,6,148.68,,,,,,,,,190.08,31.68
IN,01/01/2026,01/31/2026,B0FTSD4N59,B0FWCQCWKG,,HX -MF350-02-40*40,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
IN,01/01/2026,01/31/2026,B0FTSD4N59,B0FWCV5YVX,,HX -MF350-04-40*40,INR,200.23,1,1,0,200.23,0,53.1,1,53.1,71.98,1,71.98,,,,,,,,,-132.16,
IN,01/01/2026,01/31/2026,B0FTSD4N59,B0FTSJ1PZ3,,HX -MF350-05-40*40,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
IN,01/01/2026,01/31/2026,B0G4VNBY5N,B0G4VH8KRM,,HX-MF600-40x40-01,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
IN,01/01/2026,01/31/2026,B0FTYYVYR1,B0FTZ2YCGL,,HX-MF800-02-40x40,INR,0,0,0,0,0,0,7.08,1,7.08,,,,,,,,,,,,-7.08,
IN,01/01/2026,01/31/2026,B0FTYYVYR1,B0FTZ1WB5P,,HX -MF800-03-40*40,INR,275.24,1,0,1,275.24,275.24,7.08,1,7.08,76.7,1,76.7,,,,,,,,,191.46,191.46
IN,01/01/2026,01/31/2026,B0GFDJFGXH,B0GFDS38DZ,,MHX-CarWashGlove-01,INR,237.14,2,0,2,474.28,474.28,7.08,1,7.08,48.1833,2,96.3666,,,,,,,,,370.8334,185.4167
IN,01/01/2026,01/31/2026,B0GFDJFGXH,B0GFDM5K3C,,MHX -MF1200-01-40*40,INR,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
