Start Time, 2026-04-19 00:00:00
End Time, 2026-04-25 23:59:59
AdGroup ID,AdGroup Name,Campaign ID,Campaign Name,Query,Views,Clicks,Average CPC,Click Through Rate in %, Direct Units Sold,Indirect Units Sold,Direct Conversion Rate in %,Indirect Conversion Rate in %,Direct Revenue,Indirect Revenue,ROI,SUM(cost)
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,baby langoti cotton,2036,38,1.4300,1.8664,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,54.3400
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,langot for baby,1646,40,1.4300,2.4301,1,0,2.5000,0.0000,343.0000,0.0000,5.9965,57.2000
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,langot,774,17,1.4300,2.1964,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,24.3100
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,cotton langot for baby,504,5,1.4300,0.9921,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,7.1500
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,Langot,487,19,1.4300,3.9014,1,0,5.2632,0.0000,408.0000,0.0000,15.0166,27.1700
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,nappy for newborn,424,10,1.4300,2.3585,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,14.3000
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,cotton nappy for newborn,337,8,1.4300,2.3739,1,0,12.5000,0.0000,408.0000,0.0000,35.6643,11.4400
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,baby langot waterproof,333,18,1.4300,5.4054,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,25.7400
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,baby langot,331,10,1.4300,3.0211,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,14.3000
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,padded langot for baby,320,8,1.4300,2.5000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,11.4400
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,dry feel langots,306,30,1.4300,9.8039,5,0,16.6667,0.0000,2268.0000,0.0000,52.8671,42.9000
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,langoti for baby,298,5,1.4300,1.6779,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,7.1500
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,cotton diaper for baby,263,6,1.4300,2.2814,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,8.5800
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,cotton langot for newborn,233,2,1.4300,0.8584,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2.8600
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,New born baby cloth,217,3,1.4300,1.3825,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,4.2900
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,langot for baby boy cotton,215,2,1.4300,0.9302,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2.8600
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,Baby langot,200,5,1.4300,2.5000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,7.1500
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,cloth diapers for baby,199,1,1.4300,0.5025,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.4300
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,waterproof diaper,181,8,1.4300,4.4199,1,0,12.5000,0.0000,400.0000,0.0000,34.9650,11.4400
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,baby langot cotton,174,1,1.4300,0.5747,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.4300
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,cloth diaper for newborn,163,5,1.4300,3.0675,2,0,40.0000,0.0000,981.0000,0.0000,137.2028,7.1500
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,small kids langot,160,1,1.4300,0.6250,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.4300
