Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Net proceeds total,Net proceeds per net unit sold
IN,03/01/2026,03/31/2026,B0FTFYGZFK,,,,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0
IN,03/01/2026,03/31/2026,B0FTSD4N59,,,,INR,209.54,2,0,2,419.08,419.08,4.13,2.0,8.26,70.8,2.0,141.6,,,,,,,,,,269.22,134.61
IN,03/01/2026,03/31/2026,B0FTYYVYR1,,,,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0
IN,03/01/2026,03/31/2026,B0FTZHVX4P,,,,INR,299.893511,188,34,154,56379.98,46343.55,58.016667,12.0,696.2,65.550439,205.0,13437.84,-62.255,2.0,-124.51,47.95,13.0,623.35,11.831238,323.0,3821.49,25338.02,164.532597
IN,03/01/2026,03/31/2026,B0G4VNBY5N,,,,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0
IN,03/01/2026,03/31/2026,B0G5GDHJ4D,,,,INR,113.33,1,0,1,113.33,113.33,7.08,1.0,7.08,71.98,1.0,71.98,,,,,,,,,,34.27,34.27
IN,03/01/2026,03/31/2026,B0GFDJFGXH,,,,INR,269.677368,19,2,17,5123.87,4621.96,53.1,1.0,53.1,74.898947,19.0,1423.08,,,,,,,37.7425,56.0,2113.58,876.44,51.555294
IN,03/01/2026,03/31/2026,B0GMGMQWDG,,,,INR,665.710909,11,3,8,7322.82,5325.69,47.2,11.0,519.2,178.823636,11.0,1967.06,,,,107.23,5.0,536.15,16.883102,187.0,3157.14,-853.86,-106.7325
IN,03/01/2026,03/31/2026,B0GNFNNVFV,,,,INR,294.285,2,0,2,588.57,588.57,16.52,2.0,33.04,70.8,2.0,141.6,,,,,,,,,,413.93,206.965
IN,03/01/2026,03/31/2026,B0GNG214G5,,,,INR,0.0,0,1,-1,0.0,-237.14,,,,,,,,,,,,,,,,-237.14,237.14
