Start Time, 2026-05-01 00:00:00
End Time, 2026-05-15 23:59:59
AdGroup ID,AdGroup Name,Campaign ID,Campaign Name,Query,Views,Clicks,Average CPC,Click Through Rate in %, Direct Units Sold,Indirect Units Sold,Direct Conversion Rate in %,Indirect Conversion Rate in %,Direct Revenue,Indirect Revenue,ROI,SUM(cost)
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,chopping board wood,8976,316,1.2500,3.5205,23,0,7.2785,0.0000,4933.0000,0.0000,12.4886,395.0000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable cutter board,3546,119,1.2500,3.3559,13,0,10.9244,0.0000,2814.0000,0.0000,18.9176,148.7500
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car paper foot mat,2686,199,0.9027,7.4088,32,0,16.0804,0.0000,9018.0000,0.0000,50.2004,179.6400
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car mats,2375,90,0.9378,3.7895,4,1,4.4444,1.1111,734.0000,232.0000,11.4455,84.4000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,cutting board,2092,64,1.2500,3.0593,3,0,4.6875,0.0000,660.0000,0.0000,8.2500,80.0000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,wooden chopping board,2054,71,1.2500,3.4567,8,0,11.2676,0.0000,1781.0000,0.0000,20.0676,88.7500
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car foot paper,1661,149,0.9110,8.9705,13,1,8.7248,0.6711,2653.0000,151.0000,20.6571,135.7400
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car floor mats,1589,23,0.9078,1.4475,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,20.8800
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,label printer,1438,30,0.7600,2.0862,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,22.8000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,kitchen products,1179,18,1.2500,1.5267,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,22.5000
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,paper mat for car,1063,112,0.9011,10.5362,15,1,13.3929,0.8929,4372.0000,298.0000,46.2743,100.9200
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,chopper board,1012,23,1.2500,2.2727,5,0,21.7391,0.0000,991.0000,0.0000,34.4696,28.7500
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car floor paper,996,86,0.8949,8.6345,14,0,16.2791,0.0000,4269.0000,0.0000,55.4704,76.9600
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car foot mat,846,17,0.8894,2.0095,1,0,5.8824,0.0000,298.0000,0.0000,19.7090,15.1200
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable cutting board,698,36,1.2500,5.1576,2,0,5.5556,0.0000,396.0000,0.0000,8.8000,45.0000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,bamboo,630,7,1.2500,1.1111,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,8.7500
