sku,asin,product_name,cogs_per_unit,notes
HX-MF1200-01-40x60,B0FTZDDCXS,Homnix Microfiber Cloth for Car 1200 GSM 40x60cm 1Pcs ! T...,174,
HX -MF1200-01-40*40,B0FTZKJH8M,Homnix Microfiber Cleaning Cloth for Car & Bikes -1200 GS...,122,
HX-MF1200-02-40x40 4,B0FTZJ61MM,"Homnix Microfiber Cleaning Cloth for Car, Bike- 1200 GSM ...",244,
HX-MF1200-001-40x40,B0GNF23HWP,Homnix 1200 GSM Microfiber Cleaning Cloth 40x40 cm – Ultr...,122,
HX-MF1200-03-40x60,B0FTZG8CRG,Homnix Microfiber Cloth for Car 1200 GSM 40x60cm 3Pc ! Tw...,522,
MHX -MF1200-01-40*40,B0GFDM5K3C,Homnix Microfiber Cleaning Cloth for Car & Bikes -1200 GS...,122,
HX-CarWashDuster-01,B0GMGMQWDG,Homnix Car Duster - Lint-Free & Scratch-Free Car Cleaner ...,310,
HX-MF800-02-40x40,B0FTZ2YCGL,Homnix Multipurpose Microfiber Cleaning Towel Cloth 800 G...,106,
MHX -MF1200-01-40*60,B0GFDK61CH,Homnix Microfiber Cloth for Car 1200 GSM 40x60cm 1Pcs ! T...,174,
HX -MF350-05-40*40,B0FTSJ1PZ3,Homnix Multipurpose Microfiber Cleaning Towel Cloth,31,
HX-CarDetergentTableat-40,B0G5GBSX7G,HOMNIX Car Wiper Cleaning Tablets,52,
HX-CarDetergentTableat-10,B0G5FZ8JBQ,HOMNIX Car Accessories 10PCS/1Set Car Wiper Detergent Eff...,15,
HX-MF1200-02-40x60,B0FTZHLTPJ,Homnix Car Cleaning Cloth - 1200gsm 40x60cm 2Pcs Ultra-Ab...,348,
